"q.seq","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54"
1.1,11.6829879950402,8.48229846640187,12.0834828304672,9.84653594822648,7.27854818956499,10.727186191731,7.74486183653162,10.5062594369258,10.0213332861659,7.99995805736173,15.000142092112,12.2134016301937,15.1318087173669,10.9793187631586,11.0650043546993,16.2374602431974,13.5675078784365,11.4986797136694,3.92409993173947,4.71740467464253,3.6799043109082,7.96648761991258,6.39946955186703,6.49208974270001,4.6761898198343,5.53982777223025,8.43794513432094,1.80939362288202,2.17168157997611,2.00229505117412,2.19822129284099,3.29706047804673,1.87171398504304,3.63460140407072,4.77101172648486,3.01526250472096,16.7779631900394,15.4566060605078,12.5930565839082,17.7657940528038,17.2593753444284,18.8437350752246,15.2690622220003,12.6903876435088,7.59207161548748,7.2691095479708,8.15501544609175,9.71834868126601,6.79281664573096,11.2979884009745,6.58296618141354,2.91246401521129,5.86154718182301,7.04946159919596
1.21,10.9383974056413,7.85340453521747,11.1831837589842,9.08802749056297,6.66444345706534,10.0602913768292,7.18898078091869,9.65836593335644,9.28855848565054,7.52747748295902,13.9481845105638,11.4276716138482,14.3545403830212,10.1980082662969,10.5019741559284,15.3989557273917,12.713221510365,10.7725926855679,3.64625509759978,4.33633399514389,3.36086597116763,7.24007314151214,5.89605842370745,5.90302770406556,4.19269154938533,5.02288661743207,7.74761547526371,1.65660151186221,2.01162105329186,1.84136611103882,1.97836044004679,2.93354743586928,1.70922852398549,3.40487518073241,4.31519603674601,2.78020829110736,15.6047553965916,14.5865314546026,11.4435058454451,16.5471283833371,16.2142261092619,17.7939145841062,14.2587484968644,11.6450152170452,6.76455658950599,6.34669417328313,7.43825820209203,8.52585338396739,5.83654182049925,10.0100362799513,5.69535924859511,2.54641314135386,5.19818941563131,6.46337138918107
1.32,10.3082885685603,7.33543136518069,10.4189333653394,8.45899389920914,6.16612061402444,9.49558523296623,6.732854979901,8.97236263537021,8.68219569697214,7.12172376578936,13.0293051639867,10.7521181124642,13.6633182070785,9.52731953563819,10.015120300059,14.6712419645931,11.9830047596515,10.1659536276208,3.43735366420725,4.04124566346668,3.11492520084454,6.63728591012195,5.48979686554172,5.42553779044424,3.80947718360752,4.61558808478481,7.15557861199019,1.55025227450103,1.89205546801991,1.72488502675935,1.8221055346368,2.66395959781353,1.59483778474643,3.22828431160381,3.95315046687156,2.60726291361025,14.557106856717,13.8208071851378,10.4874692389367,15.4480671657163,15.2868341738526,16.8533165693502,13.3945338133676,10.7549427609033,6.12008487687584,5.60697579590729,6.83491547272471,7.55198587687784,5.09446318755679,8.91249419663873,4.99989950660033,2.28764057000577,4.667062949221,5.97677164309549
1.43,9.77247644311901,6.90610413331496,9.7691279758627,7.93517462153301,5.75827340365244,9.0150276276222,6.35642109681186,8.41407735927923,8.17719066147895,6.77134802020169,12.2279149986147,10.1701290513086,13.0485511878052,8.95312423421394,9.59372387057346,14.0388546263475,11.3573504204255,9.65653199829744,3.27773250166529,3.80943735491891,2.92251214292036,6.13658475173437,5.1600406164844,5.03646290016736,3.50423844185561,4.29157474849036,6.6477078504095,1.4742820110513,1.80083099916383,1.63861125665645,1.70880079096041,2.46121679896023,1.51250447196262,3.08999203211423,3.66301194789457,2.4767467810984,13.6240648694277,13.1432012008447,9.68979133544897,14.4596560846003,14.461960401085,16.0095443608664,12.6530475417831,9.99468563939917,5.61277572731924,5.01726976687926,6.32688127720397,6.76100769267425,4.52100107394658,7.99004861095012,4.45736665238747,2.1011886934902,4.24210610140033,5.57090363442208
1.54,9.31416749923833,6.54771252796295,9.21494443509591,7.49658826591915,5.4211896973716,8.60361353274592,6.04357440958461,7.95620748495787,7.75335403762704,6.46697240204404,11.5291767791839,9.66721567323383,12.5011430565634,8.4618276602318,9.22821072432431,13.4880356642314,10.8195213885488,9.22617152428278,3.15377310908348,3.62463973413291,2.76963571472793,5.71936530282968,4.89043710866156,4.71723152767953,3.25935468889132,4.03097544567022,6.21148474801486,1.41862371626682,1.72979135965207,1.5732596360893,1.62490386990876,2.30625161791636,1.45190593333949,2.97964883065405,3.42812472196298,2.37575061839434,12.7945943765957,12.5401801120464,9.02101162966844,13.572797910786,13.7262197439795,15.2513209712906,12.0143970383089,9.3428759764395,5.20851561682951,4.54759144750225,5.89823885925553,6.11951226783637,4.07693742696297,7.22199949683022,4.03356807982749,1.96400930670682,3.90108659402825,5.23031893329978
1.65,8.91958953614057,6.24627969659969,8.74037091488703,7.1270482955843,5.13969329700445,8.24903681478919,5.7815524929627,7.57732708339101,7.39462573068087,6.20091543910808,10.919439877009,9.23096909642337,12.012721833841,8.04097395573733,8.91021593435705,13.0067835054288,10.3553680999038,8.86021564977346,3.05598132187342,3.47516289140247,2.64629194561325,5.37004855821761,4.66821458438004,4.45320541345259,3.06119652974827,3.81893462960972,5.83601965405314,1.37685883351864,1.67340133553413,1.52269685460566,1.561486072609,2.1857704714701,1.40632423631064,2.88999566746386,3.23593002044356,2.29570716846462,12.057927202636,12.000564842738,8.4569720714513,12.7784497549055,13.0680029597338,14.5685550017529,11.4618668118657,8.78172653110522,4.88219045733999,4.17239046497782,5.5353790400632,5.5982981217919,3.73082841892183,6.58580404928643,3.70068199240106,1.86092851263385,3.62588186351996,4.94253557885517
1.76,8.57754948419584,5.99080934277286,8.33201185196787,6.81357313409446,4.90215952078695,7.94129324200474,5.56031235857355,7.26079195052557,7.08832325632768,5.96691455713113,10.3864610565966,8.85089713205,11.5757532251388,7.67954012746583,8.63254661266466,12.5847766661422,9.95304808472605,8.54690942198268,2.97767061400464,3.35255085305302,2.54529076970407,5.07586155505122,4.48347062621455,4.23295975118642,2.89934377513764,3.64436978919324,5.51196977904296,1.34481265554388,1.62784916987622,1.48280419601266,1.51259027643303,2.09050311221695,1.3713206183898,2.81589479930212,3.07698774567053,2.23084581776992,11.4038296907233,11.5151684794098,7.97813834008531,12.0678019803177,12.4773232159132,13.9523219688107,10.9815327674702,8.29649629109375,4.61535323081911,3.87091515483852,5.226891958206,5.17298125222329,3.45851815391926,6.0596371149898,3.43701796818133,1.78187330106939,3.40214358320159,4.69758356002883
1.87,8.278994858602,5.77264930107693,7.97878274485671,6.54580471445668,4.69968698910438,7.67228888151237,5.3719725438985,6.9937310214111,6.82446258461882,5.75987176506944,9.91946564139284,8.51820421118655,11.1835695420465,7.36800877586702,8.38908673006524,12.2132267216133,9.6027125042569,8.27684959757208,2.91407437391881,3.25063055303685,2.46142137165865,4.82647417546298,4.32854598172287,4.04761659046729,2.76586850672173,3.49899446471774,5.23139933512249,1.31971325039612,1.59046644397207,1.45076528093163,1.47418203792006,2.0139429170621,1.3439122580112,2.75366877829305,2.94418849220729,2.17721549532999,10.8227855177873,11.0764532847347,7.56884254968472,11.4324287031972,11.9456291844599,13.3947929889735,10.5618582210247,7.87499731275132,4.39441360575079,3.62681344191066,4.96333835870175,4.82381198490148,3.24189109555246,5.62386993070343,3.2260825014439,1.72006566353158,3.21870790338149,4.48754511240697
1.98,8.01661728522837,5.58497551750481,7.67157177389566,6.3154905685139,4.52543871920866,7.43548705402438,5.21034542963764,6.76619646494658,6.59518445538815,5.57563341672592,9.5091020521211,8.22555609378848,10.8303425730629,7.09830316958729,8.17467518039553,11.8847003362746,9.29619903704288,8.04251227757868,2.86175004166966,3.16484769742984,2.39086857276412,4.61359882822792,4.19751014052292,3.890279847851,2.65473948420733,3.37658066933988,4.98761437000691,1.29968213570348,1.55935264385789,1.42461806316166,1.44348427973478,1.9514761354095,1.3220595790892,2.70065221687466,2.83214966477398,2.1320644904309,10.3061011674637,10.6782255357603,7.21656386801164,10.8644034376536,11.4656121004183,12.8891353115843,10.1933109009096,7.50716013900212,4.20929467237357,3.42742706180384,4.73697507590413,4.53510028089259,3.06751718487019,5.26168204500101,3.05549310572685,1.6708710001424,3.06696708608589,4.30614182658822
2.09,7.78451288416945,5.42238420735638,7.40291307033233,6.1160482648527,4.37413473039125,7.22560630563898,5.07056034742108,6.57048245053173,6.39428886359597,5.41080614965905,9.14733353165965,7.96685397461866,10.5110230924436,6.86364928622466,7.98497736925871,11.5929359418352,9.02675186863075,7.83786332895149,2.81817800312079,3.091804422172,2.33080734568309,4.43061192312913,4.08575524292524,3.75558007444381,2.56135365720471,3.27241446287511,4.77499387171815,1.28342090802473,1.53313042541245,1.40297014223055,1.41855353601766,1.89979065294014,1.3043437305808,2.65488752982952,2.73676541123492,2.09344312751828,9.84594763695453,10.3153750309505,6.91129993569011,10.356377847241,11.0310230868917,12.4294019489536,9.86802046860861,7.18466190090771,4.05246018649852,3.26304519091023,4.5414803343626,4.2945194046647,2.9254713584878,4.95910994275589,2.91599579473291,1.63106611886178,2.94030529110709,4.14838727663581
