"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1.87",4.94192479215774,4.82782205280066,4.19317797163923,4.99499274437881,5.42679230931687,2.6619627020348,3.31476515236085,4.89267250335678,6.77662705187995,5.52677671278592,9.62729062323571,6.33242849894306,4.895393475269,5.92346985771121,4.50352738209377,5.40735739773851,3.78667828009399,2.70157814463756,5.76195289772555,2.38026481843273,6.59430753777561,4.68233164283442,2.58586215832796,7.92959807713157,5.98622645690394,5.07143482662296,5.46458622995804,8.44506817425342,4.56636347604232,3.90478085691864,4.66336086270077,4.52953223575111
"1.98",4.76650995416379,4.60486354817013,4.07722811066941,4.81919526221276,5.22370653528788,2.55696074406578,3.15380956788881,4.67403728866701,6.61010520823451,5.36520055076434,9.39060777018887,6.15774961427192,4.7224963106596,5.68267852896483,4.33279496054363,5.22785940842658,3.66489610761145,2.60677668752842,5.57658381373756,2.30223294657686,6.3864747198441,4.51541461272803,2.4879345220095,7.70953855396298,5.77842053097686,4.89190954495473,5.28773747733662,8.24146178387633,4.46026969711809,3.79464731403089,4.58328361409596,4.3884951199995
"2.09",4.61358850345264,4.41310996487353,3.97791359121628,4.66679900404944,5.04636246548454,2.46880134012773,3.01964461776088,4.48370949225477,6.46129237500637,5.2226435572179,9.17935563133052,6.00160514152164,4.57582607100388,5.47374041687169,4.18636191967275,5.07376904763159,3.56072705126804,2.52659899692421,5.41236283771505,2.23649547992048,6.20492701081097,4.36985432333831,2.40573809612381,7.5139844209178,5.59798929465864,4.73630454053736,5.13351698313625,8.06492229531477,4.36675890887418,3.6972595469958,4.51295349102827,4.26299992303538
"2.2",4.479332900859,4.24720779472749,3.892257085469,4.53385818413861,4.89075571279855,2.39410664531766,2.90681184143474,4.31730921566513,6.32763438917134,5.09579953796401,8.98963663345019,5.86110523860974,4.45049735570182,5.29144467362288,4.05972340917759,4.94038036345237,3.4706787040395,2.4580770045151,5.26581711778319,2.18049758751017,6.04539177162981,4.24193802712165,2.33605857796066,7.33913727833495,5.44017943622416,4.60027575540098,4.99779611809061,7.9106259888494,4.28366438921102,3.6106526378173,4.45052623732606,4.15066699279074
"2.31",4.36067760772459,4.1028165048076,3.81789006219454,4.41717713240749,4.75354814004647,2.33027888361032,2.81109929051928,4.17118835709362,6.20700993819281,4.98208641847299,8.81827518509025,5.73393588805393,4.34264650632627,5.13151448787671,3.94934162633146,4.82400832619614,3.39208759395846,2.39896216273243,5.13419423824846,2.13232365507417,5.90440354930739,4.12874276223014,2.2764511535806,7.18189500292575,5.30120648713271,4.48041487197111,4.8773576016644,7.77475441530726,4.20927283668945,3.53322109976786,4.39457969989268,4.04957880032461
"2.42",4.2551534794284,3.97641337716807,3.75291760623889,4.31415946743732,4.63196310242866,2.27530220677805,2.72923892656744,4.04231054718465,6.09765111515884,4.87946598203283,8.66266877688412,5.61822696699026,4.2492040646085,4.99043899255127,3.85241931982058,4.72174500244731,3.32289795453593,2.34752845575841,5.01529122952939,2.0905150235546,5.77913716527483,4.02794339352065,2.22503425020285,7.03971242129843,5.17803662757867,4.37402716289065,4.76967195173937,7.65426462837541,4.14221908397714,3.46364605742453,4.34400575445707,3.95817589653143
"2.53",4.16075971506379,3.86513258972571,3.69581452967823,4.22268739479436,4.52369199915091,2.2275980476179,2.658678412749,3.92814698521405,5.99807867057294,4.78631169612922,8.5206715408267,5.51245262985667,4.16771857544696,4.86533156421142,3.76672878776385,4.63127703765066,3.26150472274902,2.30243419140875,4.90732720044108,2.05394478588587,5.66727669216833,3.93767145897881,2.18034326866194,6.91049080485252,5.06822045336166,4.27896498601021,4.67273238235762,7.54671470742547,4.08140671291358,3.40083793145438,4.29793227148398,3.87517814923921
"2.64",4.07586486153887,3.76663479704691,3.64534556640488,4.14102579670985,4.42681365590944,2.18591910113329,2.59741004854694,3.8265881406019,5.90704950470064,4.70131136274507,8.39050313026873,5.41535596376627,4.09622084520859,4.75381271682662,3.69048277169697,4.55074887843073,3.20664091792904,2.26262391492217,4.80884810035723,2.02173053569715,5.5669128013962,3.85641068479882,2.14122582900894,6.79249039738824,4.96976617956292,4.19350273904226,4.58493229345092,7.45013105269805,4.02594801511538,3.34389134890149,4.25566622658021,3.79952496342144
"2.75",3.99913015491659,3.67900256360445,3.60050396534934,4.06774629448997,4.33972628108906,2.14927115741267,2.54384272550863,3.73587004680847,5.82351419667902,4.62339500474254,8.27067726491313,5.32589181436783,4.03311952961289,4.6539145448455,3.62223674257604,4.47865993551319,3.15729596824338,2.22725797066734,4.71865513882579,1.99317267592457,5.47646230004647,3.78291904802595,2.10676595383949,6.68426117621212,4.88104262246171,4.11624260337136,4.50497383831278,7.36290713759057,3.97511839932457,3.29204962495326,4.2166518226674,3.73032972234033
"2.86",3.92944998856789,3.6006570535223,3.56046409369438,4.0016671914618,4.26109085803576,2.11685505879535,2.49670593189983,3.65451339344303,5.74658267909234,4.55168108846597,8.15994552136227,5.24318319980229,3.97712074987037,4.56400336137147,3.56081464248202,4.41378689655665,3.11265583370121,2.19566131705622,4.63575065627184,1.96771017014289,5.39460492304859,3.71617015440281,2.07622860036611,6.5845879692338,4.80070463545727,4.04604315034112,4.43179924533179,7.28372594088689,3.92832160564181,3.24467671140912,4.18043936699122,3.66684488195951
